transaction_id,client_id,amount_usd,mcc_code,transfer_purpose,receiver_id,terminal_lat,terminal_lon,ip_address,device_id,timestamp,is_fraud,scenario
496da7a9-2936-4509-ae31-6e3c43da22c1,USER_129,37.11,,PURCHASE,USER_362,41.277625468353854,69.19420021152466,43.149.159.155,e9671d6a,2026-04-05 00:01:57.748778,0,Normal
50d46bf8-068a-437a-934a-f64ad560a861,USER_247,9.58,5814,,,41.3684974475584,69.26277614192057,89.215.118.138,a8bf9fe8,2026-04-05 00:07:57.748778,0,Normal
a22f07a4-2109-4ee5-989a-9291753ba14e,USER_178,433.29,4511,,,41.32139374834265,69.12739744540974,137.233.54.73,36f3caab,2026-04-05 00:07:57.748778,0,Normal
12964594-a91a-4f94-b962-a19ba6ba2a31,USER_452,7.12,5411,,,41.27194035854828,69.2846099336529,225.210.88.120,ab3f23b5,2026-04-05 00:11:57.748778,0,Normal
16fd6d22-8aec-4533-bd3f-0bf6753cdde3,USER_413,41.56,5411,,,41.31991898253643,69.22076773965787,207.49.100.167,5e8d423b,2026-04-05 00:13:57.748778,0,Normal
7fc31174-35f2-4c61-8dd1-3e18fee99ff2,USER_385,1748.4,5732,,,41.248492167309166,69.30343463551263,131.131.194.169,1f39abc2,2026-04-05 00:14:57.748778,0,Normal
89429bcb-a11b-4d5c-a73a-ec435d02a624,USER_350,377.13,4511,,,41.325672030063615,69.2507432444919,225.146.17.111,483fea90,2026-04-05 00:18:57.748778,0,Normal
d607bc5f-bed7-47cc-9e33-4771e517469f,USER_348,268.18,4511,,,41.422054267410694,69.26019091369896,115.93.163.247,aed4b37f,2026-04-05 00:18:57.748778,0,Normal
0efa8213-ffa6-4b2a-b267-cb42440fddec,USER_097,9880.41,5732,,,41.508825401107124,69.29212993245436,141.157.96.19,de10ebb6,2026-04-05 00:19:57.748778,0,Normal
ffc89e75-b795-490c-8673-69bddfd88a56,USER_224,20.93,5411,,,41.3476064805069,69.30079383320795,79.183.192.142,dc10963a,2026-04-05 00:22:57.748778,0,Normal
0eb240c7-264d-49ad-8b1b-e0399f5d4d93,USER_452,29.08,5411,,,41.26997267911696,69.28474511810188,225.210.88.120,ab3f23b5,2026-04-05 00:23:57.748778,0,Normal
